URL,TITRE,QUANTITE,PRIX,PRIX_KILOS,VALEUR ÉNERGÉTIQUE (KJ),VALEUR ÉNERGÉTIQUE (KCAL),MATIÈRES GRASSES,ACIDES GRAS SATURÉS,GLUCIDES,SUCRES,PROTÉINES,SEL,FIBRES ALIMENTAIRES,VITAMINE D,CALCIUM,VITAMINE B6,ACIDES GRAS MONO-INSATURÉS,VITAMINE B12
https://www.carrefour.fr/p/creme-dessert-chocolat-danette-3033491279775?t=R04F06,Crème dessert chocolat DANETTE ,les 4 pots de 125g,1.00,2.00,516,122,3,2,20,17.5,3.3,0.18,,,,,,
https://www.carrefour.fr/p/creme-dessert-vanille-danette-3033491279768?t=R04F06,Crème dessert vanille DANETTE ,les 4 pots de 125g,1.00,2.00,453,107,3,2.1,17.1,14.5,3,0.14,,,,,,
https://www.carrefour.fr/p/creme-dessert-pistache-danette-3033491097263?t=R04F06,Crème dessert pistache DANETTE ,les 4 pots de 125g,1.00,2.00,456,108,3,1.9,17.5,14.8,2.8,0.12,,,,,,
https://www.carrefour.fr/p/creme-dessert-speculoos-danette-3033491358197?t=R04F06,Crème dessert spéculoos DANETTE ,les 4 pots de 125g,1.00,2.00,482,114,3,2,19,15.6,2.8,0.12,,,,,,
https://www.carrefour.fr/p/fromages-frais-gouts-fruits-petits-filous-yoplait-3329770041219?t=R04F06,Fromages frais goûts fruits Petits Filous YOPLAIT ,les 24 pots de 50 g,2.65,2.21,393,93,2.4,1.6,11.9,11.4,5.3,0.13,0.1,0,0.15,,,
https://www.carrefour.fr/p/gateaux-lait-chocolat-kinder-pingui-8000500290767?t=R04F06,Gâteaux lait & chocolat KINDER PINGUI ,la boite de 8 pièces - 240 g,1.88,7.83,1858,446,28.3,18.1,41.5,34.5,5.3,0.229,,,,,,
https://www.carrefour.fr/p/yaourts-aux-fruits-mixes-veloute-3033490004651?t=R04F06,Yaourts aux fruits mixés VELOUTE ,les 16 pots de 125g,3.38,1.69,394,94,2.9,2,13.4,13,3.4,0.13,,,0.119,,,
https://www.carrefour.fr/p/yaourt-brasse-sur-lit-de-fruits-des-bois-la-ferme-de-la-vieille-abbaye-3293630000435?t=R04F06,Yaourt brassé sur lit de fruits des bois LA FERME DE LA VIEILLE ABBAYE ,les 4 pots de 125g,2.10,4.20,431,103,3.6,2.4,11.6,11.6,3.6,0.1,,,,,,
https://www.carrefour.fr/p/yaourts-nature-sucre-carrefour-3560070816323?t=R04F06,Yaourts nature sucré CARREFOUR ,les 16 pots de 125g,2.15,1.08,330,79,3,2.1,10,10,2.9,0.08,,,,,,
https://www.carrefour.fr/p/yaourts-saveur-coco-perle-de-lait-3329770065017?t=R04F06,Yaourts saveur coco PERLE DE LAIT ,les 4 pots de 125g,1.48,2.96,541,130,8.4,5.8,9.8,8.4,2.8,0.11,0.1,,,,,
https://www.carrefour.fr/p/yaourts-saveur-coco-perle-de-lait-3329770065369?t=R04F06,Yaourts saveur coco PERLE DE LAIT ,les 8 pots de 125g,2.82,2.82,541,130,8.4,5.8,9.8,8.4,2.8,0.11,0.1,,,,,
https://www.carrefour.fr/p/cremes-dessert-chocolat-carrefour-classic-3270190023135?t=R04F06,Crèmes dessert chocolat CARREFOUR CLASSIC' ,les 4 pots de 125g,0.82,1.64,515,122,3,1.9,20,17,3.3,0.2,1,,,,,
https://www.carrefour.fr/p/desserts-mousse-chocolat-viennois-3023290200711?t=R04F06,Desserts mousse chocolat VIENNOIS ,les 4 pots de 90g,1.00,2.78,792,190,10.8,7.2,19.3,17.4,3.7,0.14,,,,,,
https://www.carrefour.fr/p/petit-suisse-gervais-3033491451652?t=R04F06,Petit Suisse  GERVAIS ,les 12 pots de 60 g,1.84,2.56,586,143,9.5,6.7,4.5,4.5,9.3,0.08,,,,,,
https://www.carrefour.fr/p/yaourts-natures-carrefour-3270190021438?t=R04F06,Yaourts natures CARREFOUR ,les 16 pots de yaourts de 125g,1.68,0.84,258,62,3.4,2.1,4.1,4.1,3.7,0.1,,,,,,
